userId,movieId,rating
1,110,1
1,147,4.5
1,858,5
1,1221,5
1,1246,5
1,1968,4
1,2762,4.5
1,2918,5
1,2959,4
1,4226,4
1,4878,5
1,5577,5
1,33794,4
1,54503,3.5
1,58559,4
1,59315,5
1,68358,5
1,69844,5
1,73017,5
1,81834,5
1,91500,2.5
1,91542,5
1,92439,5
1,96821,5
1,98809,0.5
1,99114,4
1,112552,5
2,5,3
2,25,3
2,32,2
2,58,3
2,64,4
2,79,4
2,141,3
2,260,4
2,339,5
2,377,4
2,605,4
2,628,4
2,648,4
2,762,3
2,780,3
2,786,1
2,788,1
2,1210,4
2,1233,4
2,1356,5
2,1475,3
2,1552,2
3,480,3
3,500,2
3,527,4
3,858,4
3,1092,3
3,1097,3
3,1270,3
3,1968,3
3,3101,3
3,4474,3
4,223,4
4,415,4
4,648,4
4,1097,5
4,1197,4
4,1210,2
4,1221,5
4,1422,4
4,1431,3
4,1597,3
4,1617,4
4,1644,3
4,1645,4
4,1732,3
4,1909,4
4,1911,4
4,2023,5
4,2338,2
4,2355,4
4,2396,5
4,2443,4
4,2541,3
4,2581,3
4,2683,3
4,2692,4
4,2694,1
4,2706,4
4,2710,2
4,2712,3
4,2716,4
4,2762,5
4,2763,4
4,2805,3
4,2875,4
4,2881,3
4,2987,4
4,3004,1
4,3005,3
4,3114,5
4,3160,4
4,3203,4
4,3285,3
4,3298,3
4,3408,5
4,3409,2
4,3476,4
4,3578,4
4,3623,2
4,3751,4
4,3752,3
4,3753,4
4,3798,4
4,3908,2
4,3909,3
4,3977,3
4,4014,4
4,4084,3
4,4226,3
4,4238,4
4,4848,3
4,4896,4
4,5679,3
5,7,3
5,157,2
5,296,4
5,541,5
5,750,5
5,858,5
5,908,5
5,1193,5
5,1198,4
5,1201,5
5,1204,5
5,1225,4
5,1230,5
5,1254,5
5,1263,5
5,1270,5
5,1302,5
5,1945,5
5,2163,2
5,2707,5
5,2877,1
5,3079,5
5,3114,4
5,3156,5
5,3198,4
5,3255,3
6,11,3
6,1198,3
6,2565,4
6,2628,5
7,293,5
7,318,4
7,2571,4
7,2858,4.5
7,2959,4.5
7,3535,5
7,3948,1.5
7,4022,4
7,4306,2.5
7,4896,4.5
7,4993,5
7,5618,4
7,5810,2
7,5816,4.5
7,6377,3.5
7,6934,2
7,7153,4.5
7,8368,4
7,8533,4
7,8961,2.5
7,30793,2.5
7,33794,4
7,35836,3
7,39183,3
7,40815,2.5
7,41566,2
7,50872,4
7,51255,2.5
7,54001,3
7,54272,4
7,54503,3.5
7,55247,2
7,58559,5
7,60074,1
7,63082,3.5
7,68954,3
7,69844,3.5
7,72378,2.5
7,79132,3
7,80463,3.5
7,81834,3
7,88125,4.5
7,88129,4
7,88744,1.5
7,89745,2.5
7,91529,4.5
7,98809,4.5
7,99114,2
7,106489,4
7,106920,3.5
7,116797,4.5
7,122904,1
7,134853,2.5
8,1,4
8,7,2
8,44,3
8,47,4
8,170,3
8,208,3
8,318,5
8,420,1
8,553,4
8,585,2
8,647,4
8,653,4
8,784,2
8,832,2
8,852,2
8,912,4
8,968,4
8,1037,3
8,1210,4
8,1211,3
8,1228,3
8,1265,3
8,1266,5
8,1287,4
8,1292,5
8,1304,3
8,1339,1
8,1343,3
8,1404,1
8,1405,4
8,1499,3
8,1591,4
8,1626,3
8,1653,2
8,1792,1
8,1837,1
8,1876,3
8,1882,2
8,1965,3
8,1968,3
8,2019,5
8,2022,3
8,2110,2
8,2193,2
8,2240,3
8,2300,2
8,2313,3
8,2334,3
8,2416,3
8,2469,3
8,2474,2
8,2571,4
8,2596,4
8,2600,2
8,2670,4
8,2762,2
8,2919,3
8,2985,4
8,3016,3
8,3036,3
8,3082,3
8,3091,4
8,3107,2
8,3146,3
8,3147,3
8,3175,5
8,3197,2
8,3203,4
8,3354,1
8,3359,4
8,3527,5
8,3634,5
8,3660,4
8,3671,3
8,3679,4
8,3785,3
8,3841,4
8,3868,4
8,3986,1
8,4084,1
8,4085,3
8,4291,2
8,4361,2
8,4366,3
8,4367,3
8,4443,4
8,4466,3
8,4541,4
8,4563,3
8,4571,3
8,4638,3
8,4643,2
8,4654,3
8,4681,1
8,4787,2
8,4896,4
8,4901,3
8,4954,3
8,4956,4
8,4963,2
8,4971,2
8,4979,4
8,4980,2
8,4993,4
8,5002,2
8,5008,5
8,5026,2
8,5033,1
8,5036,3
8,5054,4
8,5064,3
8,5120,2
8,5125,2
9,1,4.5
9,150,4
9,342,5
9,497,4
9,594,3
9,750,4
9,852,2
9,1059,5
9,1079,2
9,1183,4
9,1188,4.5
9,1197,4.5
9,1207,4
9,1246,4.5
9,1262,4
9,1291,3.5
9,1304,3.5
9,1391,2.5
9,1527,4
9,1653,4.5
9,1676,0.5
9,1682,4.5
9,2245,3.5
9,2321,4
9,2324,5
9,2355,4.5
9,2395,4.5
9,2396,5
9,2571,3.5
9,2640,2
9,2762,4
9,2858,4.5
9,3114,4.5
9,3408,3.5
9,3535,2.5
9,3538,3
9,3717,3.5
9,3751,4
9,3793,4
9,3948,3.5
9,3967,4.5
9,3969,3.5
9,3996,4
9,4014,4.5
9,4027,5
9,4103,4
9,4226,4
9,4246,4
9,4306,5
9,4308,5
9,4367,2.5
9,4370,2.5
9,4848,3
9,4878,4
9,4881,4
9,4886,4
9,4896,3.5
9,4963,4
9,4973,5
9,4979,4.5
9,4993,5
9,5013,3
9,5016,3.5
9,5151,3
9,5299,5
9,5349,4
9,5378,2.5
9,5380,4
9,5445,3
9,5459,3.5
9,5502,3
9,5669,4
9,5816,3.5
9,5872,3
9,5902,3.5
9,5952,5
9,5989,5
9,5991,4.5
9,6157,3
9,6333,4
9,6365,3
9,6539,5
9,6568,4
9,7153,5
10,150,4
10,153,3
10,165,4
10,296,5
10,344,4
10,349,5
10,380,5
10,457,4
10,588,5
10,590,3
10,592,4
10,593,4
10,595,5
